date,match,player,rating_before,P,E,rating_after,system
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Aaron Ramsey,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Aaron Ramsey,3.238198733564552,8.42880757138173,6.610932526315789,4.041890858751599,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Andy King,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Andy King,3.238198733564552,6.238140383046023,6.610932526315789,3.0733853649610765,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Ashley Williams,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Ashley Williams,3.238198733564552,8.253807571381731,6.610932526315789,3.9645224376989683,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Ben Davies,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Ben Davies,3.238198733564552,7.108807571381731,6.610932526315789,3.458311911383179,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Eden Hazard,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Eden Hazard,3.238198733564552,6.7313075713817305,6.105669368421053,3.606995990046636,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Hal Robson-Kanu,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Hal Robson-Kanu,3.238198733564552,7.787557571381731,6.610932526315789,3.7005917337308167,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Joe Allen,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Joe Allen,3.238198733564552,7.037557571381731,6.610932526315789,3.4268119113831785,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Kevin De Bruyne,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Kevin De Bruyne,3.238198733564552,6.247557571381731,6.105669368421053,3.3218380953097935,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Marouane Fellaini,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Marouane Fellaini,3.238198733564552,6.574391463684658,6.105669368421053,3.373278411076777,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Michy Batshuayi,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Michy Batshuayi,3.238198733564552,6.118140383046024,6.105669368421053,3.2455500685013767,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Romelu Lukaku,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Romelu Lukaku,3.238198733564552,6.385057571381731,6.105669368421053,3.3900813496301936,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Sam Vokes,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Sam Vokes,3.238198733564552,7.385640383046024,6.610932526315789,3.5807011544347604,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Thibaut Courtois,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Thibaut Courtois,3.238198733564552,6.5663075713817305,6.105669368421053,3.509732832151899,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Toby Alderweireld,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Toby Alderweireld,3.238198733564552,6.25005757138173,6.105669368421053,3.3233117795203198,tuned
2016-01-06 23:59:59.999999,"Wales - Belgium, 3 - 1",Wayne Hennessey,3.238198733564552,,,3.238198733564552,tuned
2016-01-07 00:00:00.000000,"Wales - Belgium, 3 - 1",Wayne Hennessey,3.238198733564552,6.93880757138173,6.610932526315789,3.383154016646336,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Jerome Boateng,3.238198733564552,,,3.238198733564552,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Jerome Boateng,3.238198733564552,6.986307571381731,6.610932526315789,3.404154016646337,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Jonas Hector,3.238198733564552,,,3.238198733564552,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Jonas Hector,3.238198733564552,7.46880757138173,6.610932526315789,3.6174698061200203,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Joshua Kimmich,3.238198733564552,,,3.238198733564552,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Joshua Kimmich,3.238198733564552,7.223807571381731,6.610932526315789,3.5091540166463364,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mario Gomez,3.238198733564552,,,3.238198733564552,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Mario Gomez,3.238198733564552,6.7138075713817305,6.610932526315789,3.274584012661559,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mats Hummels,3.238198733564552,,,3.238198733564552,tuned
2016-02-07 00:00:00.000000,"Germany - Italy, 1 - 1",Mats Hummels,3.238198733564552,7.3563075713817305,6.610932526315789,3.5677329640147573,tuned
2016-02-06 23:59:59.999999,"Germany - Italy, 1 - 1",Mesut Ozil,3.238198733564552,,,3.238198733564552,tuned
